127.0.0.1 - - [11/Apr/2022:23:23:30 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:23:41 +0200] "GET /harmony/ HTTP/1.1" 200 9339
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:23:45 +0200] "POST /harmony/root HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:23:46 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:23:47 +0200] "POST /harmony/LoginPlaceholder HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:23:48 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:23:50 +0200] "POST /harmony/LoginPlaceholder HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:23:51 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:23:54 +0200] "POST /harmony/LoginPlaceholder HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:30 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:31 +0200] "POST /harmony/LoginPlaceholder HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:32 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:33 +0200] "POST /harmony/LoginPlaceholder HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:34 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:35 +0200] "POST /harmony/LoginPlaceholder HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:36 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:36 +0200] "POST /harmony/LoginPlaceholder HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:37 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:38 +0200] "POST /harmony/LoginPlaceholder HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [11/Apr/2022:23:24:43 +0200] "POST /harmony/RegisterPlaceholder HTTP/1.1" 200 2925
